# 출처: https://www.data.go.kr/data/15100267/fileData.do
# 받은 날: 2026-08-25
연번,시도,시군구,시설유형,시설명,시설주소,대표전화
1,서울,도봉구,혼합형,서울시립청소년자립지원관,서울특별시 도봉구 시루봉로 15길 93 대원리츠빌 102동 203호,02-6959-5012
2,서울,관악구,이용형,관악청소년자립지원관(들꽃),서울특별시 관악구 난우16길 17,02-851-1924
3,부산,사상구,혼합형,부산광역시청소년자립지원관,"부산광역시 사상구 모덕로82,  부산광역시청소년종합지원센터 2층 221호",051-303-9671
4,대구,남구,이용형,대구광역시청소년자립지원관,대구광역시 남구 자유6길 45-1 1층,053-657-1924
5,인천,부평구,혼합형,인천시청소년자립지원관(별바라기),인천광역시 부평구 산곡동 7-42,032-875-1319
6,인천,남동구,혼합형,인천시청소년자립지원관(행복자리),"인천광역시 남동구 문화로169번길40-17 (간석동, 가람주택) 301호",032-467-1398
7,대전,서구,이용형,대전청소년자립지원관,"대전광역시 서구 둔산남로209번길 18, 301호 (둔산동)",042-482-1924
8,경기,군포시,이용형,경기남부청소년자립지원관,경기도 군포시 군포로 789 온누리청소년센터 2층,031-360-1824
9,경기,의정부시,이용형,경기북부청소년자립지원관,"경기도 의정부시 비우로 12, 1층",031-928-1316
10,경기,성남시,혼합형,성남시청소년자립지원관,경기도 성남시 수정구 위례서일로 12 이타워프라자 8층,031-723-7942
11,충남,천안시,혼합형,천안청소년자립지원관,충청남도 천안시 서북구 개목5길 34 3층,041-578-1380
12,제주,제주시,이용형,제주특별자치도청소년자립지원관,제주특별자치도 제주시 칠성로길 1 4층,064-721-1824
13,강원,강릉시,이용형,강릉시청소년자립지원관,강원도 강릉시 금성로 28-2(금학동),033-646-1424
