# 2026-08-26 조사 관점이 낸 신규 기관 229곳
# 소스: docs/데이터/청소년상담복지센터.csv (공공데이터포털) 223곳 + WebSearch 광역 활동진흥센터 6곳
# 형식: 이름 | 종류 | 지역 | 대문주소 | 공고주소 | 칸 | 메모

# 서울 (25)
종로구청소년상담복지센터 |  지역거점 |  서울 |  https://www.jongno1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
용산구청소년상담복지센터 |  지역거점 |  서울 |  https://www.dodoit.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
성동구청소년상담복지센터 |  지역거점 |  서울 |  https://sdyc.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
광진구청소년상담복지센터 |  지역거점 |  서울 |  https://www.light1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
동대문구청소년상담복지센터 |  지역거점 |  서울 |  https://www.ddm1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
중랑구청소년상담복지센터 |  지역거점 |  서울 |  https://www.jn1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
성북구청소년상담복지센터 |  지역거점 |  서울 |  https://www.sb1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 404
성북구석관청소년상담복지센터 |  지역거점 |  서울 |  https://www.sb1318.or.kr | |  심리상담 |  성북구청소년상담복지센터와 같은 사이트(분원) · 실장 확인 404
강북구청소년상담복지센터 |  지역거점 |  서울 |  https://www.gb1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
도봉구청소년상담복지센터 |  지역거점 |  서울 |  https://www.db1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
노원구청소년상담복지센터 |  지역거점 |  서울 |  https://www.nowonyouthcenter.org | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
은평구청소년상담복지센터 |  지역거점 |  서울 |  https://www.woori1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
서대문구청소년상담복지센터 |  지역거점 |  서울 |  https://www.sdm7979.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
마포구청소년상담복지센터 |  지역거점 |  서울 |  https://www.mapo1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
양천구청소년상담복지센터 |  지역거점 |  서울 |  http://yangcheon1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
강서구청소년상담복지센터 |  지역거점 |  서울 |  https://www.gs1318.or.kr | |  심리상담 |  data.go.kr 원본(CSV 시군구명 오탈자 "강성구" 확인, 명칭은 강서구 맞음) · 실장 확인 200
구로구청소년상담복지센터 |  지역거점 |  서울 |  https://www.guro1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
금천구청소년상담복지센터 |  지역거점 |  서울 |  https://www.gc1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
영등포구청소년상담복지센터 |  지역거점 |  서울 |  https://www.young1318.com | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
동작구청소년상담복지센터 |  지역거점 |  서울 |  http://djyc1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
관악구청소년상담복지센터 |  지역거점 |  서울 |  http://go1318.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
서초구청소년상담복지센터 |  지역거점 |  서울 |  http://seocho1318.com | |  심리상담 |  CSV 원문 http · 실장 확인 200
강남구청소년상담복지센터 |  지역거점 |  서울 |  https://www.gnyc.or.kr | |  심리상담 |  조사 WebFetch ETIMEOUT · 실장 확인 연결 안 됨
송파구청소년상담복지센터 |  지역거점 |  서울 |  https://www.sp1318.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
강동구청소년상담복지센터 |  지역거점 |  서울 |  http://www.wagle.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503

# 부산 (15)
부산중구청소년상담복지센터 |  지역거점 |  부산 |  https://www.junggu1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 406
부산서구청소년상담복지센터 |  지역거점 |  부산 |  https://www.flyseogu1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 406
부산동구청소년상담복지센터 |  지역거점 |  부산 |  http://bsdg1388.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
영도구청소년상담복지센터 |  지역거점 |  부산 |  https://www.busanyouth.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
부산진구청소년상담복지센터 |  지역거점 |  부산 |  http://bsjin1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
동래구청소년상담복지센터 |  지역거점 |  부산 |  https://www.1388youth.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
부산남구청소년상담복지센터 |  지역거점 |  부산 |  https://www.namgu1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
부산북구청소년상담복지센터 |  지역거점 |  부산 |  http://www.bsbukgu.go.kr/youth | |  심리상담 |  구청 홈페이지 하위경로 · 실장 확인 503
해운대구청소년상담복지센터 |  지역거점 |  부산 |  https://www.u-dream.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
사하구청소년상담복지센터 |  지역거점 |  부산 |  https://www.saha1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
금정구청소년상담복지센터 |  지역거점 |  부산 |  https://www.gjyouth1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
연제구청소년상담복지센터 |  지역거점 |  부산 |  https://www.yeonje1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
수영구청소년상담복지센터 |  지역거점 |  부산 |  https://www.meetyou.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
사상구청소년상담복지센터 |  지역거점 |  부산 |  http://sasang1388.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
기장군청소년상담복지센터 |  지역거점 |  부산 |  http://gijangcmc.or.kr/1388/main/main.asp | |  심리상담 |  CSV 원문 http · 실장 확인 503

# 대구 (9)
대구중구청소년상담복지센터 |  지역거점 |  대구 |  http://www.ymca1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
대구동구청소년상담복지센터 |  지역거점 |  대구 |  http://www.dg1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 200
대구서구청소년상담복지센터 |  지역거점 |  대구 |  https://www.seoguc8310.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
대구남구청소년상담복지센터 |  지역거점 |  대구 |  https://www.dng1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
대구북구청소년상담복지센터 |  지역거점 |  대구 |  https://www.teen1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 연결 안 됨
수성구청소년상담복지센터 |  지역거점 |  대구 |  http://ss1388.suseong.kr | |  심리상담 |  구청 하위 도메인 · 실장 확인 503
달서구청소년상담복지센터 |  지역거점 |  대구 |  https://www.dalbi1388.or.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 403
대구달성군청소년상담복지센터 |  지역거점 |  대구 |  http://www.ds1388.or.kr | |  심리상담 |  CSV 원문 http · 실장 확인 503
군위군청소년상담복지센터 |  지역거점 |  대구 |  http://www.gunwi.go.kr | |  심리상담 |  군청 홈페이지, 2023년 대구 편입지역 · 실장 확인 200

# 인천 (10)
인천중구청소년상담복지센터 |  지역거점 |  인천 |  https://www.junggu1388.kr | |  심리상담 |  data.go.kr 원본 · 실장 확인 200
인천중구동인천청소년상담복지센터 |  지역거점 |  인천 |  https://www.junggu1388.kr | |  심리상담 |  인천중구청소년상담복지센터와 같은 사이트(분원) · 실장 확인 200
