# 조사팀 2026-08-25 · 기관 DB 1회차
한국청소년활동진흥원 | 공공 | 전국 | https://www.kywa.or.kr | | 문화체험,공모전·대회 | 17개 시도 청소년활동진흥센터 주관기관. 실장 확인 503 — 우리 쪽에서만 막힘
한국청소년상담복지개발원 | 공공 | 전국 | https://www.kyci.or.kr | | 심리상담 | 1388 상담 운영기관. 실장 확인 200
학교밖청소년지원센터 꿈드림 | 공공 | 전국 | | | 교육,진로·취업 | 전국 220여 센터. 주소를 확인 못 해 비워둠 — kdream.or.kr은 어느 형태로도 안 열리고 공식 CSV에도 없다
한국장학재단 | 공공 | 전국 | https://www.kosaf.go.kr | | 교육 | 국가장학금·학자금대출. 실장 확인 200
워크넷 | 공공 | 전국 | https://www.work.go.kr | | 진로·취업 | 청년 코너 있음. 14세 대상 여부 확인 필요. 실장 확인 200
서울시청소년상담복지센터 | 지역거점 | 서울 | https://www.teen1318.or.kr | | 심리상담 | 시도 대표. 실장 확인 200
부산광역시청소년상담복지센터 | 지역거점 | 부산 | http://www.cando.or.kr | | 심리상담 | 시도 대표. 실장 확인 http 200 (https는 안 열림)
대구광역시청소년상담복지센터 | 지역거점 | 대구 | https://www.daeguyouth.net | | 심리상담 | 시도 대표. 실장 확인 200
인천광역시청소년상담복지센터 | 지역거점 | 인천 | https://www.inyouth.or.kr | | 심리상담 | 시도 대표. 실장 확인 200
광주광역시청소년상담복지센터 | 지역거점 | 광주 | https://www.gj1388.or.kr | | 심리상담 | 시도 대표. 실장 확인 연결 안 됨. 주소는 성평등가족부 공식 CSV에 적힌 것
대전광역시청소년상담복지센터 | 지역거점 | 대전 | https://www.dj1388.or.kr | | 심리상담 | 시도 대표. 실장 확인 200
울산광역시청소년상담복지센터 | 지역거점 | 울산 | http://www.counteen.or.kr | | 심리상담 | 시도 대표. 실장 확인 http 200 (https는 안 열림)
세종특별자치시청소년상담복지센터 | 지역거점 | 세종 | https://www.sj1388.or.kr | | 심리상담 | 시도 대표. 실장 확인 200
